Daerah,provinsi,sumDesa,danadesa,tahun,miskin,miskin_perc,populasi,ipm,pdrb_tani,pdrb_growth
Kab. Rembang,Jawa Tengah,287,228728361,2018,97.44,15.41,632.317,,,
Kab. Semarang,Jawa Tengah,208,158450698,2018,75.67,7.29,1037.997,,,
Kab. Sragen,Jawa Tengah,196,146610871,2018,116.37,13.12,886.966,,,
Kab. Sukoharjo,Jawa Tengah,150,127001352,2018,65.43,7.41,882.996,,,
Kab. Tegal,Jawa Tengah,281,281896357,2018,114.06,7.94,1436.524,,,
Kab. Temanggung,Jawa Tengah,266,211615329,2018,75.39,9.87,763.83,,,
Kab. Wonogiri,Jawa Tengah,251,198552505,2018,102.84,10.75,956.651,,,
Kab. Wonosobo,Jawa Tengah,236,184100308,2018,138.32,17.58,786.803,,,
Kab. Bangkalan,Jawa Timur,273,268326025,2018,191.33,19.59,976.672,,,
Kab. Banyuwangi,Jawa Timur,189,171594506,2018,125.5,7.8,1608.974,,,
Kab. Blitar,Jawa Timur,220,164197753,2018,112.4,9.72,1156.379,,,
Kab. Bojonegoro,Jawa Timur,419,317899182,2018,163.94,13.16,1245.745,,,
Kab. Bondowoso,Jawa Timur,209,197476931,2018,110.98,14.39,771.23,,,
Kab. Gresik,Jawa Timur,330,246315128,2018,154.02,11.89,1295.374,,,
Kab. Jember,Jawa Timur,226,237360038,2018,243.42,9.98,2439.078,,,
Kab. Jombang,Jawa Timur,302,238494888,2018,120.19,9.56,1257.218,,,
Kab. Kediri,Jawa Timur,343,272006205,2018,177.2,11.31,1566.755,,,
Kab. Lamongan,Jawa Timur,462,322012143,2018,164,13.8,1188.406,,,
Kab. Lumajang,Jawa Timur,198,164055106,2018,103.69,9.98,1038.978,,,
Kab. Madiun,Jawa Timur,198,142881185,2018,77.75,11.42,680.823,,,
Kab. Magetan,Jawa Timur,207,148190103,2018,64.86,10.31,629.098,,,
Kab. Malang,Jawa Timur,378,320340658,2018,268.49,10.37,2589.103,,,
Kab. Mojokerto,Jawa Timur,299,208462404,2018,111.55,10.08,1106.647,,,
Kab. Nganjuk,Jawa Timur,264,239042120,2018,127.28,12.11,1051.032,,,
Kab. Ngawi,Jawa Timur,213,168572918,2018,123.09,14.83,830.007,,,
Kab. Pacitan,Jawa Timur,166,126503528,2018,78.64,14.19,554.193,,,
Kab. Pamekasan,Jawa Timur,178,165936185,2018,125.76,14.47,869.109,,,
Kab. Pasuruan,Jawa Timur,341,302571464,2018,152.48,9.45,1613.545,,,
Kab. Ponorogo,Jawa Timur,281,216309473,2018,90.22,10.36,870.849,,,
Kab. Probolinggo,Jawa Timur,325,324435332,2018,217.06,18.71,1160.128,,,
Kab. Sampang,Jawa Timur,180,179596216,2018,204.82,21.21,965.677,,,
Kab. Sidoarjo,Jawa Timur,322,253643547,2018,125.75,5.69,2210.018,,,
Kab. Situbondo,Jawa Timur,132,115414807,2018,80.27,11.82,679.103,,,
