,hs07,year,export_val,import_val,export_val_perc,import_val_perc,country
30,31.0,2008,48511142.59,1171456794.0,0.0003740064076047655,0.011876970898264132,indonesia
31,32.0,2008,240427911.91,729361998.0,0.0018536273280833915,0.007394733863779002,indonesia
32,33.0,2008,349896129.99,636005942.0,0.002697594565404978,0.006448231042703796,indonesia
33,34.0,2008,231242599.16,418704087.0,0.0017828113126085897,0.004245087212566248,indonesia
34,35.0,2008,35638187.1,234499057.0,0.0002747597689765628,0.002377499955546275,indonesia
35,36.0,2008,3202427.7199999997,35073877.0,2.4689760397810487e-05,0.0003556011784232272,indonesia
36,37.0,2008,2833698.0,86564057.0,2.1846964483480922e-05,0.000877641233625111,indonesia
37,38.0,2008,1411938516.3400002,1313977243.0,0.010885623880645973,0.013321933472940648,indonesia
38,39.0,2008,1775223076.4699998,3229017897.0,0.013686439240136326,0.03273782847909545,indonesia
39,40.0,2008,7732766237.100001,1372249250.0,0.0596173160799013,0.013912731985414378,indonesia
40,41.0,2008,206209454.56,339425718.0,0.001589813251069907,0.0034413128981421125,indonesia
41,42.0,2008,242697508.0,141722314.0,0.0018711252354715736,0.0014368705765623409,indonesia
42,43.0,2008,163616.0,3109828.0,1.261430449161913e-06,3.152940581657248e-05,indonesia
43,44.0,2008,3055407905.8299994,287949215.0,0.023556281580187733,0.0029194115090283063,indonesia
44,45.0,2008,138166.91,1119879.0,1.0652255729306035e-06,1.1354042556841526e-05,indonesia
45,46.0,2008,94052775.39,16278416.0,0.0007251187824242875,0.00016504089104445215,indonesia
46,47.0,2008,1384990830.58,1132368605.0,0.010677865279090433,0.011480670082393967,indonesia
47,48.0,2008,2565745887.3700004,756347955.0,0.019781133795841916,0.0076683345869063176,indonesia
48,49.0,2008,53805937.66,80119469.0,0.00041482769478554473,0.0008123019189194059,indonesia
49,50.0,2008,970243.0,32470068.0,7.480283488694272e-06,0.0003292021137065149,indonesia
50,51.0,2008,9380375.32,61466041.0,7.231988957812759e-05,0.0006231816520486285,indonesia
51,52.0,2008,524387214.32,1497224315.0,0.004042868663788639,0.015179808345051478,indonesia
52,53.0,2008,3957140.0000000005,37535462.0,3.0508366465361413e-05,0.0003805582861529754,indonesia
53,54.0,2008,876187331.45,452425027.0,0.006755142400871257,0.00458697145882562,indonesia
54,55.0,2008,1543906433.34,609685063.0,0.011903057070653502,0.0061813733015554425,indonesia
55,56.0,2008,103504645.51,168996038.0,0.0007979898755379908,0.0017133888637876126,indonesia
56,57.0,2008,41159632.99999999,40559375.0,0.00031732846630237564,0.00041121663128685715,indonesia
57,58.0,2008,42797787.0,264172332.0,0.0003299581439379149,0.002678346410521198,indonesia
58,59.0,2008,102213414.26,357569226.0,0.0007880348685969862,0.003625263273104403,indonesia
59,60.0,2008,72809039.0,987157039.0,0.0005613359253912652,0.010008423259201817,indonesia
60,61.0,2008,3712491566.0,429772136.0,0.028622200173633348,0.004357302103074247,indonesia
61,62.0,2008,4021096760.0,280252570.0,0.03100145396593434,0.0028413780474892455,indonesia
62,63.0,2008,191924525.54,82346725.0,0.0014796807186162064,0.0008348832508391765,indonesia
63,64.0,2008,2741893866.0,262104160.0,0.021139182053971948,0.0026573779729463635,indonesia
64,65.0,2008,42419134.0,20687633.0,0.00032703884250121857,0.00020974432548723492,indonesia
65,66.0,2008,15192798.19,35313394.0,0.00011713193235892577,0.00035802955346292967,indonesia
66,67.0,2008,99776196.0,17425086.0,0.0007692446443865336,0.00017666655772688255,indonesia
67,68.0,2008,114631484.21000004,189764152.0,0.0008837744756938019,0.001923949156624014,indonesia
68,69.0,2008,282284691.52,194252307.0,0.002176330586346113,0.0019694529145047324,indonesia
69,70.0,2008,341719736.87,221102223.0,0.0026345570186743035,0.002241674367814974,indonesia
70,71.0,2008,2022559048.0,184466766.0,0.015593325642816909,0.0018702409023536718,indonesia
71,72.0,2008,1174311682.81,5363909426.0,0.009053592029527064,0.054382710894522894,indonesia
72,73.0,2008,1073656516.07,3116239064.0,0.008277570783491802,0.03159440524373437,indonesia
73,74.0,2008,1074082074.85,774494341.0,0.008280851714470436,0.007852314140855337,indonesia
74,75.0,2008,1819528235.0,42832740.0,0.01402801876796177,0.0004342654454509178,indonesia
75,76.0,2008,738529202.1500001,1118495875.0,0.005693839375044396,0.011340019559614655,indonesia
76,78.0,2008,2200340.78,132462253.0,1.696396965104069e-05,0.0013429862134544082,indonesia
77,79.0,2008,4496371.2,201765129.0,3.466567782132976e-05,0.0020456226620488645,indonesia
78,80.0,2008,1694708485.0,9882499.0,0.013065695808674305,0.00010019503376163303,indonesia
79,81.0,2008,1071116.2999999998,75814047.0,8.257986476956082e-06,0.0007686508239232843,indonesia
80,82.0,2008,45169733.04,387709996.0,0.00034824513884443395,0.003930849488468717,indonesia
81,83.0,2008,235011792.45,514300362.0,0.0018118706661240328,0.005214302792665103,indonesia
82,84.0,2008,3176923525.83,10809353208.0,0.02449313068490114,0.10959206872846396,indonesia
83,85.0,2008,13235027690.779999,18652477598.0,0.10203810705952333,0.18911063109338172,indonesia
84,86.0,2008,4310848.86,51397607.0,3.323535603937831e-05,0.0005211014914984708,indonesia
85,87.0,2008,1961293227.34,5619644748.0,0.01512098448013467,0.05697551755423843,indonesia
86,88.0,2008,30581183.0,1032018600.0,0.00023577177909001967,0.010463258176867335,indonesia
87,89.0,2008,611467576.54,1097458771.0,0.004714232224982878,0.011126732075798368,indonesia
88,90.0,2008,914448503.0,1916189375.0,0.0070501245958508275,0.01942754146717419,indonesia
89,91.0,2008,11867780.0,143471546.0,9.149703608421406e-05,0.0014546053984223714,indonesia
90,92.0,2008,669098563.0,160043202.0,0.005158549902568701,0.0016226193423050034,indonesia
91,93.0,2008,21621823.0,9609708.0,0.00016669779177213342,9.74293058364524e-05,indonesia
92,94.0,2008,2444592049.3100004,393858119.0,0.01884707392173599,0.003993183053243747,indonesia
93,95.0,2008,436140626.27,267501349.0,0.0033625138500728785,0.0027120980932391066,indonesia
94,96.0,2008,212665170.27,275266785.0,0.0016395848893432233,0.0027908290015036864,indonesia
95,97.0,2008,13299727.0,1422543.0,0.00010253691939260722,1.4422641875539247e-05,indonesia
96,1.0,2009,76564755.72,391170706.0,0.0006692993835410999,0.004512091271140508,indonesia
97,2.0,2009,33524653.99,265241409.0,0.0002930595159343594,0.0030595170546689897,indonesia
98,3.0,2009,2104400993.6400003,173723294.0,0.018395856873329165,0.002003870296082898,indonesia
99,4.0,2009,487935826.47999996,556210871.0,0.004265345651528986,0.006415803068731222,indonesia
100,5.0,2009,23239719.17,46128976.0,0.00020315260680817704,0.0005320903297811109,indonesia
101,6.0,2009,17504647.66,2550492.0,0.00015301883716298178,2.9419515607371927e-05,indonesia
102,7.0,2009,93731811.92,344273661.0,0.0008193671271631705,0.003971141388797366,indonesia
103,8.0,2009,336322697.2899999,474105701.0,0.0029400025096439617,0.00546873311898783,indonesia
104,9.0,2009,1350049904.57,102332392.0,0.011801612378714734,0.001180387706992887,indonesia
105,10.0,2009,7651746.99,1067056893.0,6.688860292519283e-05,0.012308329889906456,indonesia
106,11.0,2009,12691666.170000002,350554546.0,0.00011094562065547767,0.0040435903885533385,indonesia
107,12.0,2009,127379678.62,871301738.0,0.0011135037207956422,0.010050325615536645,indonesia
108,13.0,2009,59790596.0,36045093.0,0.0005226661884836606,0.0004157743588620049,indonesia
109,14.0,2009,69183412.02,10113403.0,0.0006047745412470562,0.00011665647937815217,indonesia
110,15.0,2009,9612835360.589998,146052753.0,0.08403167646030038,0.0016846950495759787,indonesia
111,16.0,2009,657738822.38,40628381.0,0.005749697549612753,0.0004686418498594597,indonesia
112,17.0,2009,137215748.79000002,752409031.0,0.001199486829333509,0.008678917334628805,indonesia
113,18.0,2009,1402997922.5900002,65849942.0,0.012264463405760487,0.0007595685053760358,indonesia
114,19.0,2009,237079775.34999996,197120980.0,0.002072459397272892,0.002273758846391382,indonesia
115,20.0,2009,220269848.52,116686741.0,0.001925513540019265,0.001345962817379104,indonesia
116,21.0,2009,198657216.46,318336290.0,0.001736584297335349,0.00367195797989089,indonesia
117,22.0,2009,26623188.900000002,192070382.0,0.0002327295862319804,0.0022155010095945755,indonesia
118,23.0,2009,320028689.64000005,1504488367.0,0.0027975666176593924,0.017354031690382094,indonesia
119,24.0,2009,511042921.28,439201971.0,0.004467338907559527,0.00506612419902631,indonesia
120,25.0,2009,235713042.79999998,464879135.0,0.0020605119516815314,0.005362306161977399,indonesia
121,26.0,2009,6813335266.639998,146340547.0,0.059559532985354983,0.0016880147071458547,indonesia
122,27.0,2009,29367083877.96,13666212935.0,0.2567156513605135,0.1576375713920689,indonesia
123,28.0,2009,337556569.10000026,732854123.0,0.002950788538202873,0.00845335461139473,indonesia
124,29.0,2009,1666954635.3000002,3061669738.0,0.014571870559835559,0.0353158687193331,indonesia
125,30.0,2009,150737635.0,376688619.0,0.0013176899114116748,0.004345042723439194,indonesia
126,31.0,2009,149631810.16,859352563.0,0.001308023219775864,0.009912493800966076,indonesia
127,32.0,2009,228679434.7,691657294.0,0.001999026879063844,0.007978155805148823,indonesia
128,33.0,2009,283994726.53000003,603672969.0,0.0024825716951357144,0.006963270746681052,indonesia
129,34.0,2009,270198379.52,363424144.0,0.0023619693832484957,0.004192039134607669,indonesia
130,35.0,2009,34482277.49,218625224.0,0.00030143068896543916,0.002521806847319334,indonesia
131,36.0,2009,4276664.07,44320255.0,3.738493773990678e-05,0.0005112270235292656,indonesia
132,37.0,2009,2388969.65,91807647.0,2.088344564032519e-05,0.0010589864637068427,indonesia
133,38.0,2009,1129934503.11,1004650257.0,0.009877448954960788,0.011588479366240599,indonesia
134,39.0,2009,1583675034.31,3120507750.0,0.013843872604640673,0.03599455573828503,indonesia
135,40.0,2009,4858635156.719999,1101818155.0,0.04247230314605921,0.012709295464368537,indonesia
136,41.0,2009,163105695.8,270498733.0,0.0014258066994977173,0.0031201594426753083,indonesia
137,42.0,2009,246260757.0,122504136.0,0.002152715976176102,0.0014130655344222265,indonesia
138,43.0,2009,249597.0,1843318.0,2.181880117852584e-06,2.1262377090518066e-05,indonesia
139,44.0,2009,2281287324.2000003,233230021.0,0.01994212853432174,0.002690270835163248,indonesia
140,45.0,2009,151736.76,802517.0,1.3264238744510924e-06,9.256904709633002e-06,indonesia
141,46.0,2009,79614811.29,7021954.0,0.0006959617857595904,8.099711165424073e-05,indonesia
142,47.0,2009,903487080.1600001,931770260.0,0.007897933456483004,0.010747820305476354,indonesia
143,48.0,2009,2727382756.5299997,783965184.0,0.023841721696361663,0.009042912491520932,indonesia
144,49.0,2009,44460004.39,81657068.0,0.00038865210566705374,0.0009419011651392087,indonesia
145,50.0,2009,646478.0,31162340.0,5.6512598101303415e-06,0.0003594525871840533,indonesia
146,51.0,2009,6274584.88,58480332.0,5.484998616750379e-05,0.0006745612375958411,indonesia
147,52.0,2009,446013005.15000004,1299944618.0,0.003898872615618246,0.014994652395682926,indonesia
148,53.0,2009,6256500.58,29720324.0,5.469190023451869e-05,0.0003428191642138656,indonesia
149,54.0,2009,701386615.7299999,414535965.0,0.006131249621546723,0.004781605781211814,indonesia
150,55.0,2009,1374025535.7200003,585195507.0,0.012011198042481337,0.0067501361900176235,indonesia
151,56.0,2009,95596247.5,173573678.0,0.0008356652995090678,0.0020021444995514392,indonesia
152,57.0,2009,37084851.98,31962632.0,0.0003241813852276591,0.0003686838268760245,indonesia
153,58.0,2009,31684262.7,233155721.0,0.0002769715294412522,0.002689413796595933,indonesia
154,59.0,2009,98673760.36,337324478.0,0.0008625677227019333,0.003890983678941,indonesia
155,60.0,2009,71385515.05000001,1011794219.0,0.000624024471408957,0.011670883820580182,indonesia
156,61.0,2009,3677718560.96,282414078.0,0.03214918852075963,0.0032576010336290225,indonesia
157,62.0,2009,3551521060.57,212242933.0,0.031046018943306237,0.0024481881456393097,indonesia
158,63.0,2009,152049480.47,94712889.0,0.0013291575554486143,0.001092497963590862,indonesia
159,64.0,2009,2768570098.6,249768481.0,0.024201765457984303,0.0028810393151631444,indonesia
160,65.0,2009,31027853.0,9908483.0,0.0002712334505637193,0.00011429276008859444,indonesia
161,66.0,2009,10752481.8,30937358.0,9.399402339367768e-05,0.00035685745594648123,indonesia
162,67.0,2009,138475401.93,25348758.0,0.0012104982282748285,0.0002923938524835577,indonesia
163,68.0,2009,94139080.94000001,181403824.0,0.0008229273148952158,0.0020924639761289,indonesia
164,69.0,2009,224602190.22000003,160216080.0,0.0019633851899949206,0.0018480667518705996,indonesia
165,70.0,2009,285971640.45000005,235968061.0,0.0024998531094826575,0.0027218536868301455,indonesia
166,71.0,2009,2472676882.21,148857116.0,0.021615181781702967,0.0017170429263963084,indonesia
167,72.0,2009,648445448.4100004,3406734956.0,0.005668458480661961,0.03929614059100029,indonesia
168,73.0,2009,763148526.8800001,2581881718.0,0.006671148282102592,0.029781590963268753,indonesia
169,74.0,2009,1506695793.4,499595208.0,0.013170949952409625,0.0057627504885818985,indonesia
170,75.0,2009,1126544466.58,27336086.0,0.009847814571119632,0.00031531736179586574,indonesia
171,76.0,2009,480027583.78,783231463.0,0.004196214862640166,0.009034449137622564,indonesia
172,78.0,2009,4172687.9499999997,124632656.0,3.647601884681329e-05,0.0014376176707788994,indonesia
173,79.0,2009,9328391.93,159598510.0,8.154518236839182e-05,0.0018409431811032165,indonesia
174,80.0,2009,1739068205.39,13917899.0,0.015202259405882344,0.00016054072973070534,indonesia
175,81.0,2009,1320873.81,51750514.0,1.1546566281770983e-05,0.000596933867784145,indonesia
176,82.0,2009,40183575.02,292189270.0,0.0003512692195834716,0.00337035630343934,indonesia
177,83.0,2009,158678240.4,345845068.0,0.0013871036024655453,0.0039892673161721764,indonesia
178,84.0,2009,2950082724.3399997,9586995388.0,0.02578847839620601,0.11058445211554033,indonesia
179,85.0,2009,11402209295.5,17252248895.0,0.09967368903250187,0.19900192026821398,indonesia
180,86.0,2009,15639507.49,56697121.0,0.00013671450556472061,0.0006539921850970537,indonesia
181,87.0,2009,1399995256.9900002,4298226858.0,0.012238215268270054,0.049579356505707994,indonesia
182,88.0,2009,27332914.0,840415344.0,0.00023893372764726559,0.009694056021145273,indonesia
183,89.0,2009,90665225.83,122735312.0,0.0007925602215535104,0.0014157321124550334,indonesia
184,90.0,2009,930764763.4100001,1825506196.0,0.008136384378346068,0.02105692079197902,indonesia
185,91.0,2009,13298593.69,98738301.0,0.00011625114551701675,0.0011389304445239927,indonesia
186,92.0,2009,596065977.0,107875432.0,0.005210577467456242,0.001244325783172811,indonesia
187,93.0,2009,1094835.0,42281589.0,9.57062271913979e-06,0.0004877113386319131,indonesia
188,94.0,2009,1933086639.0600002,423676740.0,0.01689829326414776,0.004887043152815402,indonesia
189,95.0,2009,406348177.59,216379509.0,0.003552138085030076,0.0024959028854593447,indonesia
190,96.0,2009,171914674.29999998,249343248.0,0.001502811371219496,0.0028761343208011667,indonesia
191,97.0,2009,14993801.0,1991790.0,0.00013106998999562572,2.297497776570455e-05,indonesia
192,1.0,2010,76301807.85,406475073.55999994,0.00043567958043458545,0.003031523346515041,indonesia
193,2.0,2010,36168807.81,392225778.44,0.00020652211861687836,0.002925250973035081,indonesia
194,3.0,2010,2430684918.0599995,269896448.04,0.013879091663868819,0.0020129091218528787,indonesia
195,4.0,2010,323315181.2,879817174.1499997,0.0018461138269523713,0.006561746285549068,indonesia
196,5.0,2010,26486531.630000003,44417813.81,0.00015123679651747306,0.0003312715793045965,indonesia
197,6.0,2010,22006192.669999998,4041975.77,0.00012565428080388858,3.0145375964842256e-05,indonesia
198,7.0,2010,98292831.56,524908348.0299999,0.0005612472472208688,0.003914808103475745,indonesia
199,8.0,2010,376089968.87,623096677.6,0.002147455276093277,0.004647104455229356,indonesia
200,9.0,2010,1610937263.59,96284731.5,0.009198372763160295,0.0007180991663246388,indonesia
201,10.0,2010,16718710.66,2034786774.1100001,9.546301786289894e-05,0.015175601192145323,indonesia
202,11.0,2010,45635638.77,551026201.46,0.0002605772590770653,0.004109597126429734,indonesia
203,12.0,2010,212190391.99,1091958385.19,0.0012115967309214081,0.00814391226781515,indonesia
204,13.0,2010,73948072.78999999,56158434.11,0.0004222398686860653,0.00041883405695001765,indonesia
205,14.0,2010,68899847.52000001,9702825.270000001,0.00039341474999560606,7.236444064218676e-05,indonesia
206,15.0,2010,15946673436.210001,215908505.76999998,0.09105472318131087,0.0016102627652426434,indonesia
207,16.0,2010,671668488.77,31355549.24,0.0038351941274278167,0.0002338521738402019,indonesia
208,17.0,2010,186545378.18,1363326432.43,0.0010651649598820544,0.010167796693251692,indonesia
209,18.0,2010,1812006404.4,181144560.54000002,0.010346467695309973,0.0013509905037022104,indonesia
210,19.0,2010,468686767.71000004,203447029.46999997,0.002676178455857319,0.0015173240863597486,indonesia
211,20.0,2010,233966318.82,99486582.35000001,0.001335936205072788,0.0007419788239843878,indonesia
212,21.0,2010,439360015.47,457202865.96,0.0025087241389615727,0.0034098552467491856,indonesia
213,22.0,2010,81990234.00000001,106441507.87999998,0.00046816021474979365,0.0007938492103596452,indonesia
214,23.0,2010,431203944.66999996,1733590635.1399999,0.0024621533747258887,0.012929256492159768,indonesia
215,24.0,2010,694940150.0999999,533853451.7,0.003968074172212629,0.003981521396310908,indonesia
216,25.0,2010,243587208.79999998,695152706.3600001,0.0013908710149810135,0.005184504034322748,indonesia
217,26.0,2010,8809349550.779999,698992458.7900001,0.05030095386115329,0.005213141212574379,indonesia
218,27.0,2010,49610500808.01001,26677245273.55,0.2832735263583072,0.19896101170281777,indonesia
219,28.0,2010,556735353.4899999,1295644457.7800004,0.003178931562125809,0.009663019156728469,indonesia
220,29.0,2010,2882312563.3500004,5218256177.050002,0.016457863367409883,0.03891816856141935,indonesia
221,30.0,2010,334852759.57,504778823.09999996,0.0019119928335593261,0.0037646805095618127,indonesia
222,31.0,2010,392236305.02,1437431053.54,0.0022396500635774347,0.010720474836617488,indonesia
223,32.0,2010,316894176.13,938263730.51,0.0018094502029348972,0.006997645339768918,indonesia
224,33.0,2010,493319930.1,620358442.45,0.0028168326049169364,0.004626682480241392,indonesia
225,34.0,2010,656454459.18,425425207.21999997,0.0037483227646742463,0.003172854946769714,indonesia
226,35.0,2010,54477875.24,322757757.9,0.000311065995633954,0.002407152964567384,indonesia
227,36.0,2010,12268699.969999999,89919949.24,7.005367508349818e-05,0.0006706301152763544,indonesia
228,37.0,2010,3000828.42,80873459.81,1.7134583096012188e-05,0.000603160679399622,indonesia
229,38.0,2010,2030636267.1999998,1405280580.3999999,0.011594833488718561,0.010480694057265398,indonesia
230,39.0,2010,2262902086.95,4768526290.43,0.012921059927506341,0.03556404738746045,indonesia
231,40.0,2010,10244394840.04,1637577386.2899997,0.058494992077895575,0.01221318206497704,indonesia
232,41.0,2010,172316743.42999998,392606252.4200001,0.0009839201533340407,0.0029280885781630163,indonesia
233,42.0,2010,334771133.72,128993241.55000001,0.0019115267539593444,0.0009620418292236477,indonesia
234,43.0,2010,1946450.76,3669098.42,1.111413837166874e-05,2.7364427106130005e-05,indonesia
235,44.0,2010,3059262492.5999994,328499801.95000005,0.017468238784531395,0.0024499775846402398,indonesia
236,45.0,2010,307221.75,3053667.58,1.7542211241378748e-06,2.2774495075894535e-05,indonesia
237,46.0,2010,82243512.66,6436060.42,0.0004696064234757882,4.800064922045303e-05,indonesia
238,47.0,2010,1627761962.8099997,1534769923.46,0.009294440970502353,0.01144643585090909,indonesia
239,48.0,2010,4485789467.99,1120587036.73,0.025613637846875283,0.008357427022268951,indonesia
240,49.0,2010,70221461.66000001,55087736.85,0.00040096110191355233,0.00041084871184063164,indonesia
241,50.0,2010,737477.9299999999,13602225.75,4.210962809083252e-06,0.00010144647878292661,indonesia
242,51.0,2010,9087092.13,70288340.64,5.188685036600773e-05,0.0005242160208540046,indonesia
243,52.0,2010,824799548.9200001,2129393366.4599998,0.004709564970236823,0.015881184663553243,indonesia
244,53.0,2010,11199361.42,36382586.83,6.394780441104429e-05,0.00027134421900897943,indonesia
245,54.0,2010,1228236196.6100001,832292290.36,0.0070131684411146745,0.006207301931832673,indonesia
246,55.0,2010,2167366219.16,810266070.83,0.01237555480819086,0.00604302863911672,indonesia
247,56.0,2010,121046999.55000001,240343181.57000002,0.0006911724304158734,0.0017924985158963476,indonesia
248,57.0,2010,61636796.339999996,44869755.86,0.0003519430839900236,0.0003346421989685465,indonesia
249,58.0,2010,64148851.76,276086976.74,0.00036628679722897577,0.002059078576026189,indonesia
250,59.0,2010,131431895.06000002,418098041.23,0.0007504696744280782,0.0031182083615118924,indonesia
251,60.0,2010,120606033.75999999,1050936381.01,0.0006886545373831041,0.00783796690613936,indonesia
252,61.0,2010,4067970585.4500003,185925008.81,0.023227912520412074,0.00138664346615914,indonesia
253,62.0,2010,3944960764.6900005,179733450.92999998,0.022525532477157956,0.0013404663362797389,indonesia
254,63.0,2010,221624436.87000003,97765914.64999999,0.0012654646644728602,0.0007291459477677495,indonesia
255,64.0,2010,3272783591.52,287756390.56,0.018687433786755674,0.002146109990094568,indonesia
256,65.0,2010,31788868.03,12081171.64,0.0001815128772967967,9.010233655695316e-05,indonesia
257,66.0,2010,5913785.199999999,26506813.7,3.376742343748099e-05,0.0001976899195060072,indonesia
258,67.0,2010,241121626.22,24476269.0,0.0013767926593790994,0.00018254595603912134,indonesia
259,68.0,2010,149432918.11,216680451.91,0.0008532546331440636,0.0016160200007974991,indonesia
260,69.0,2010,373542551.53999996,218603481.61,0.0021329096480826267,0.0016303621088646285,indonesia
261,70.0,2010,471173829.67,297987826.60999995,0.0026903794576655297,0.002222416851871597,indonesia
262,71.0,2010,3201125490.61,181933173.08999997,0.018278269545187735,0.0013568720386650836,indonesia
263,72.0,2010,1240578228.79,5952901970.429999,0.007083640839520533,0.04439721517194117,indonesia
264,73.0,2010,1567447384.08,3319899550.05,0.008950047684214379,0.02476007423017479,indonesia
265,74.0,2010,3178695688.1200004,1142960234.1100001,0.018150196473088517,0.008524288103317868,indonesia
266,75.0,2010,1719808122.76,37121735.99,0.009820020029211783,0.00027685685208503016,indonesia
267,76.0,2010,809090423.5,1360376453.7300005,0.004619866634577008,0.01014579551806905,indonesia
268,78.0,2010,17745747.490000002,201173885.39000002,0.00010132734778893315,0.0015003707974700791,indonesia
269,79.0,2010,5433646.85,298076192.38000005,3.102585700841565e-05,0.0022230758907948005,indonesia
270,80.0,2010,1562736658.93,28950390.259999998,0.008923149674655689,0.00021591430735286356,indonesia
271,81.0,2010,3634957.09,59164358.32000001,2.0755426699485756e-05,0.00044125247818470797,indonesia
272,82.0,2010,70453138.35999998,402564421.87999994,0.0004022839645074621,0.0030023573960320815,indonesia
273,83.0,2010,193686859.89,476948951.46000004,0.001105942470176577,0.0035571231189738184,indonesia
274,84.0,2010,3943719509.480001,12112017210.160002,0.022518444970788934,0.09033238526635529,indonesia
275,85.0,2010,16382795215.960005,23161953763.040012,0.09354495715313761,0.17274368873001286,indonesia
276,86.0,2010,15134329.22,99312372.24,8.641627754994914e-05,0.0007406795511629609,indonesia
277,87.0,2010,2920695629.1700006,6471132114.67,0.016677028790660738,0.04826221670173245,indonesia
278,88.0,2010,108525076.44,3742010731.1300006,0.0006196728636228574,0.027908212907072454,indonesia
279,89.0,2010,674241189.4,1921411019.3,0.003849884121841392,0.014330035818049765,indonesia
280,90.0,2010,1029298556.27,1969786526.08,0.005877244272104599,0.014690824185510185,indonesia
281,91.0,2010,20345535.64,61437877.88999999,0.00011617201061314179,0.0004582085675085873,indonesia
282,92.0,2010,680696922.6800001,146403750.4,0.0038867460422346454,0.001091890785498431,indonesia
283,93.0,2010,8589632.93,168069424.64999998,4.9046382732981326e-05,0.0012534751029121029,indonesia
284,94.0,2010,2327681400.2300005,495800982.65,0.013290946629092158,0.0036977230632242214,indonesia
285,95.0,2010,507175252.6100001,171434307.87,0.002895945816884465,0.001278570668921567,indonesia
286,96.0,2010,274675248.09000003,323575314.67999995,0.0015683821945460877,0.0024132503678939024,indonesia
287,97.0,2010,24972112.54,5545512.75,0.0001425895377915669,4.135887404554538e-05,indonesia
288,1.0,2011,66648301.32,334279357.08,0.0002973672897057622,0.0019305342357190602,indonesia
289,2.0,2011,32377547.060000002,347437322.11999995,0.0001444601471585258,0.002006524276516091,indonesia
290,3.0,2011,2928792703.6,309068765.36,0.013067507065152964,0.0017849377177547527,indonesia
291,4.0,2011,387944548.09,1103907731.7,0.0017309071129624103,0.006375301447680471,indonesia
292,5.0,2011,21977229.06,63416841.87,9.805664827730248e-05,0.00036624572160439236,indonesia
293,6.0,2011,27294934.520000003,9339562.2,0.00012178285928006078,5.393795396528954e-05,indonesia
294,7.0,2011,107219085.55,656511270.26,0.00047838351830830646,0.0037914919259253548,indonesia
295,8.0,2011,527757028.48999995,838741068.06,0.002354713834816728,0.004843907685289366,indonesia
296,9.0,2011,1963488810.4999998,242824925.33000004,0.008760573553744338,0.0014023654817647035,indonesia
297,10.0,2011,10967650.159999998,4346695896.160001,4.8934786602602765e-05,0.025103091357771685,indonesia
